City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
61,Saint Anthony,US,86.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
63,Nantucket,US,78.8,clear sky,41.28,-70.1,Jared Coffin House
64,Broome,US,88.0,clear sky,42.25,-75.83,Chenango Valley State Park
65,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.03,Pousada Porto Praia
66,Tari,NG,85.93,overcast clouds,12.41,4.49,
67,Castro,BR,58.14,scattered clouds,-24.79,-50.01,CHACARA BAILLY
68,Khatanga,RU,55.38,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
70,Nome,US,51.8,overcast clouds,64.5,-165.41,Dredge 7 Inn
71,Lillooet,CA,55.99,clear sky,50.69,-121.94,Hotel Victoria
72,Talcahuano,CL,55.4,overcast clouds,-36.72,-73.12,Hotel Terramar
73,Avarua,CK,71.6,clear sky,-21.21,-159.78,Paradise Inn
75,Luzhou,CN,78.62,light rain,28.87,105.44,Shijichun Hotel
76,Faya,SA,77.0,few clouds,18.39,42.45,مقبرة ال مجمل
77,Sydney Mines,CA,78.01,scattered clouds,46.24,-60.22,At The Harbourfront B&B Inc
78,Namibe,AO,66.87,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
80,Aras,ES,78.8,broken clouds,42.56,-2.36,Jardines de Viana Spa
81,Am Timan,TD,76.78,moderate rain,11.03,20.28,
82,Bondoukou,CI,82.2,broken clouds,8.03,-2.8,Prestige Hotel
84,Saldanha,ZA,62.6,overcast clouds,-33.01,17.94,Blue Bay Lodge
85,Soe,ID,61.21,clear sky,-9.86,124.28,Dena Hotel
86,College,US,55.99,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
87,Jamestown,US,75.99,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
88,Vangaindrano,MG,66.79,clear sky,-23.35,47.6,Hotel Fanilo
89,Cape Town,ZA,62.01,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
91,Roma,US,84.0,clear sky,43.21,-75.46,Wingate By Wyndham Rome
93,Talnakh,RU,57.2,overcast clouds,69.49,88.4,Talnakh Hotel
94,Port Alfred,ZA,59.49,clear sky,-33.59,26.89,The Halyards Hotel
95,Hilo,US,75.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
96,Hasaki,JP,75.2,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
97,Tubuala,PA,84.2,scattered clouds,9.52,-79.03,
98,Half Moon Bay,US,72.0,few clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
99,Kodiak,US,55.4,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
100,Sitka,US,55.4,light intensity drizzle,57.05,-135.33,Westmark Sitka
101,Port Blair,IN,81.73,overcast clouds,11.67,92.75,Fortune Resort Bay Island
102,Birin,NP,78.8,scattered clouds,26.89,88.07,HOTEL SURYODAYA
103,Markivka,UA,66.29,clear sky,49.52,39.57,
104,Hof,DE,66.99,light rain,50.32,11.92,Hotel Burghof
105,Beremend,HU,80.6,clear sky,45.79,18.43,Hotel Beremend Rose
107,Torbay,CA,72.0,few clouds,47.67,-52.73,Gallows Cove
108,Solnechnyy,RU,57.33,overcast clouds,50.72,136.63,Hotel complex Pastoral
109,Lebu,CL,51.06,light rain,-37.62,-73.65,Hostal Las Lilas
111,Avera,US,82.4,overcast clouds,33.19,-82.53,
112,Le Port,RE,69.8,clear sky,-20.94,55.29,Villa Maido
113,Nayoro,JP,55.13,overcast clouds,44.35,142.46,大雪荘
114,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
115,Tezu,IN,76.41,light rain,27.92,96.17,Circuit House
116,Champerico,GT,80.6,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
117,Faanui,PF,76.48,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Novospasskoye,RU,59.54,clear sky,53.15,47.75,Gostinitsa
120,Airai,TL,57.02,broken clouds,-8.93,125.41,Juvinal Martin
121,Lamu,KE,76.12,few clouds,-2.27,40.9,Lamu House
122,Bambous Virieux,MU,72.0,scattered clouds,-20.34,57.76,Casa Tia Villa
123,Basco,PH,84.4,broken clouds,20.45,121.97,Nathaniel's Lodge
124,Ginir,ET,61.39,scattered clouds,7.13,40.7,Sura Dare Village
125,Dryden,CA,71.6,broken clouds,49.78,-92.75,Holiday Inn Express Dryden
126,Naryan-Mar,RU,58.46,few clouds,67.67,53.09,Hostel Agat
129,Ayan,RU,55.31,scattered clouds,56.45,138.17,Gostinitsa
130,Boyolangu,ID,72.73,broken clouds,-8.12,111.89,Yos ega cv
131,Mikuni,JP,78.8,few clouds,36.22,136.15,Haiya
132,Calvinia,ZA,60.01,clear sky,-31.47,19.78,Die Lemoenhuis
133,Bela,IN,82.72,light rain,25.93,81.98,Siddharth Hotel
135,Ribeira Grande,PT,77.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
136,Severo-Kurilsk,RU,51.06,overcast clouds,50.68,156.12,Kak Doma
137,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
138,Constitucion,CL,53.35,overcast clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
139,Obo,CF,70.99,overcast clouds,5.4,26.49,
141,Obigarm,TJ,72.12,clear sky,38.72,69.71,Kurort Obi Garm
142,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
