City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Nayoro,JP,44.35,142.46,55.13,80,86,0.72,overcast clouds
114,Kahului,US,20.89,-156.47,80.6,61,40,10.29,scattered clouds
115,Tezu,IN,27.92,96.17,76.41,85,53,3.18,light rain
116,Champerico,GT,14.3,-91.92,80.6,78,75,4.7,broken clouds
117,Faanui,PF,-16.48,-151.75,76.48,76,1,19.6,clear sky
118,Ouallam,NE,14.32,2.09,93.4,39,38,11.21,scattered clouds
119,Novospasskoye,RU,53.15,47.75,59.54,72,9,4.99,clear sky
120,Airai,TL,-8.93,125.41,57.02,37,60,4.14,broken clouds
121,Lamu,KE,-2.27,40.9,76.12,80,21,13.62,few clouds
122,Bambous Virieux,MU,-20.34,57.76,72.0,73,40,16.11,scattered clouds
123,Basco,PH,20.45,121.97,84.4,78,62,26.37,broken clouds
124,Ginir,ET,7.13,40.7,61.39,78,34,7.09,scattered clouds
125,Dryden,CA,49.78,-92.75,71.6,88,75,5.82,broken clouds
126,Naryan-Mar,RU,67.67,53.09,58.46,82,19,10.33,few clouds
127,Port Lincoln,AU,-34.73,135.87,47.39,81,64,3.96,broken clouds
128,Mitha Tiwana,PK,32.25,72.11,94.35,43,0,6.02,clear sky
129,Ayan,RU,56.45,138.17,55.31,60,25,7.85,scattered clouds
130,Boyolangu,ID,-8.12,111.89,72.73,89,68,1.63,broken clouds
131,Mikuni,JP,36.22,136.15,78.8,88,20,1.12,few clouds
132,Calvinia,ZA,-31.47,19.78,60.01,32,0,5.37,clear sky
133,Bela,IN,25.93,81.98,82.72,72,9,4.34,light rain
134,Mandurah,AU,-32.55,115.7,46.4,100,69,6.85,broken clouds
135,Ribeira Grande,PT,38.52,-28.7,77.0,83,40,8.05,scattered clouds
136,Severo-Kurilsk,RU,50.68,156.12,51.06,73,95,5.32,overcast clouds
137,Vila Franca Do Campo,PT,37.72,-25.43,77.0,78,20,14.99,few clouds
138,Constitucion,CL,-35.33,-72.42,53.35,75,100,21.34,overcast clouds
139,Obo,CF,5.4,26.49,70.99,96,100,4.36,overcast clouds
140,Miass,RU,55.05,60.11,49.77,93,13,5.06,few clouds
141,Obigarm,TJ,38.72,69.71,72.12,17,0,2.51,clear sky
142,Touros,BR,-5.2,-35.46,82.4,61,40,17.22,scattered clouds
143,Challans,FR,46.84,-1.87,71.6,56,40,13.87,scattered clouds
144,Svetlaya,RU,46.54,138.33,62.96,78,88,2.08,overcast clouds
145,Mar Del Plata,AR,-38.0,-57.56,64.4,45,0,16.11,clear sky
146,North Bend,US,43.41,-124.22,62.01,93,40,7.31,fog
147,Mendi,PG,-6.18,143.65,53.37,100,100,1.12,overcast clouds
148,Havre-Saint-Pierre,CA,50.23,-63.6,66.2,55,40,11.41,scattered clouds
149,Los Llanos De Aridane,ES,28.66,-17.92,81.0,74,20,18.34,few clouds
150,Georgetown,MY,5.41,100.34,84.0,88,20,3.36,few clouds
151,Kununurra,AU,-15.77,128.73,62.6,24,1,7.25,clear sky
152,Brejo Santo,BR,-7.49,-38.99,91.4,26,0,12.75,clear sky
153,Atambua,ID,-9.11,124.89,67.23,73,48,5.68,scattered clouds
154,Karratha,AU,-20.74,116.85,74.26,47,12,7.52,few clouds
155,Labuan,MY,5.28,115.24,77.0,100,20,4.61,few clouds
156,Anderson,US,34.53,-82.65,80.01,69,75,6.93,broken clouds
157,Port Shepstone,ZA,-30.74,30.45,64.96,57,0,4.76,clear sky
158,Cherskiy,RU,68.75,161.3,38.28,94,100,13.82,overcast clouds
159,Kadhan,PK,24.48,68.99,82.58,84,100,21.43,light rain
160,Takoradi,GH,4.88,-1.76,77.31,80,51,12.17,broken clouds
161,Lagoa,PT,39.05,-27.98,73.78,88,45,14.36,scattered clouds
162,Cordoba,AR,-31.41,-64.18,71.6,14,0,24.16,clear sky
163,Saint George,US,37.1,-113.58,91.99,33,1,2.91,clear sky
164,Khani,GE,41.96,42.96,69.8,83,75,8.05,thunderstorm
165,Glendive,US,47.11,-104.71,72.0,43,1,13.87,haze
166,Bonavista,CA,48.65,-53.11,66.0,76,0,1.99,clear sky
167,Lazaro Cardenas,MX,17.96,-102.2,83.98,81,79,4.56,light rain
168,Skibbereen,IE,51.55,-9.27,62.6,67,75,14.99,broken clouds
169,Adrar,MR,20.5,-10.07,112.08,6,92,11.05,overcast clouds
170,Geneva,US,41.89,-88.31,84.99,54,1,9.17,clear sky
171,Lubango,AO,-14.92,13.49,68.83,36,56,3.94,broken clouds
172,Canelli,IT,44.72,8.29,84.99,54,4,5.59,clear sky
173,Tasiilaq,GL,65.61,-37.64,48.2,57,0,5.82,clear sky
174,Norman Wells,CA,65.28,-126.83,57.2,76,20,10.29,few clouds
175,Hithadhoo,MV,-0.6,73.08,82.45,78,42,12.3,moderate rain
176,Tabuk,PH,17.42,121.44,74.98,82,100,3.15,overcast clouds
177,Tha Chang,TH,9.26,99.19,78.22,79,36,4.12,scattered clouds
178,Kundiawa,PG,-6.02,144.97,60.62,80,97,0.96,overcast clouds
179,Baruun-Urt,MN,46.68,113.28,56.82,84,49,2.37,scattered clouds
180,Marica,BR,-22.92,-42.82,71.6,60,75,5.82,broken clouds
181,Vanimo,PG,-2.67,141.3,77.76,81,95,3.02,moderate rain
182,Bandarbeyla,SO,9.49,50.81,77.29,76,72,33.44,broken clouds
183,Husavik,IS,66.04,-17.34,51.8,71,97,9.17,overcast clouds
184,Dali,CN,25.7,100.18,63.05,86,4,4.45,clear sky
185,Toyooka,JP,35.53,134.83,74.73,85,15,2.35,few clouds
186,San Joaquin,VE,10.26,-67.79,79.83,73,72,2.64,light rain
187,Bathsheba,BB,13.22,-59.52,86.0,74,75,13.87,shower rain
188,Vila Velha,BR,-20.33,-40.29,71.6,64,75,19.46,broken clouds
189,Praia,CV,14.92,-23.51,86.0,70,75,13.87,broken clouds
190,Sola,VU,-13.88,167.55,80.17,86,93,14.25,overcast clouds
191,Yerbogachen,RU,61.28,108.01,48.76,61,53,7.05,broken clouds
192,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,73.4,78,75,5.82,broken clouds
193,Illela,NG,13.73,5.3,89.1,49,100,10.4,overcast clouds
194,Saskylakh,RU,71.92,114.08,41.79,80,0,7.74,clear sky
195,Kloulklubed,PW,7.04,134.26,80.6,78,75,5.82,broken clouds
196,Margate,GB,51.38,1.39,71.01,61,41,4.0,light rain
197,Udachnyy,RU,66.42,112.4,45.95,59,0,2.19,clear sky
198,Redcar,GB,54.62,-1.06,64.0,78,87,3.0,light rain
199,Kenora,CA,49.82,-94.43,68.0,82,90,4.7,overcast clouds
200,Knysna,ZA,-34.04,23.05,59.0,77,75,3.36,broken clouds
201,Longyearbyen,SJ,78.22,15.64,48.2,63,20,10.29,few clouds
202,Moose Factory,CA,51.26,-80.61,57.2,67,1,6.93,clear sky
203,Khandagayty,RU,50.73,92.05,51.96,65,80,3.0,broken clouds
204,Henties Bay,NA,-22.12,14.28,63.0,77,0,10.69,clear sky
205,San Juan,AR,-31.54,-68.54,68.58,21,0,3.78,clear sky
206,Tuktoyaktuk,CA,69.45,-133.04,55.4,82,20,8.05,few clouds
207,Tres Arroyos,AR,-38.37,-60.28,61.59,44,0,18.99,clear sky
208,Ucluelet,CA,48.93,-125.55,60.01,100,75,2.24,broken clouds
209,Aden,YE,12.78,45.04,86.72,64,12,1.41,few clouds
210,Laguna,US,38.42,-121.42,79.0,56,1,4.7,clear sky
211,Nioro,GM,13.35,-15.75,77.61,80,100,2.77,overcast clouds
212,East London,ZA,-33.02,27.91,63.64,72,23,5.48,few clouds
213,Chilca,PE,-12.52,-76.74,62.6,72,90,5.82,overcast clouds
214,Clyde River,CA,70.47,-68.59,43.07,88,100,8.03,overcast clouds
215,Coquimbo,CL,-29.95,-71.34,57.2,62,40,10.29,scattered clouds
216,Carnarvon,AU,-24.87,113.63,64.4,88,65,14.99,broken clouds
217,Nanortalik,GL,60.14,-45.24,47.32,78,4,3.0,clear sky
218,Revin,FR,49.94,4.63,60.8,82,69,13.87,broken clouds
219,Hongjiang,CN,27.11,110.0,77.16,81,0,3.69,clear sky
220,Artyom,AZ,40.47,50.33,69.8,60,40,16.11,scattered clouds
221,Klaksvik,FO,62.23,-6.59,48.2,76,85,17.22,light rain
222,Starkville,US,33.45,-88.82,84.2,58,40,4.68,scattered clouds
223,Bethel,US,41.37,-73.41,87.01,62,1,5.82,clear sky
224,Birao,CF,10.28,22.79,74.39,90,95,5.64,overcast clouds
225,Ahuimanu,US,21.44,-157.84,80.6,78,20,6.93,few clouds
226,Gigmoto,PH,13.78,124.39,81.16,80,100,4.81,overcast clouds
227,Zelenoborsk,RU,61.47,64.03,52.54,86,21,5.61,few clouds
228,Carballo,ES,43.21,-8.69,71.6,68,21,12.75,few clouds
229,Lethem,GY,3.38,-59.8,85.71,62,22,4.97,light rain
230,Ayagoz,KZ,47.97,80.44,67.53,37,99,5.37,overcast clouds
231,Port Augusta,AU,-32.5,137.77,48.2,81,90,1.12,overcast clouds
232,Dingle,PH,11.0,122.67,76.98,87,93,1.12,overcast clouds
233,Tiksi,RU,71.69,128.87,37.67,79,84,10.18,broken clouds
234,Alghero,IT,40.56,8.32,80.6,54,20,10.29,few clouds
235,Ponta Do Sol,PT,32.67,-17.1,80.6,47,20,18.34,few clouds
236,Sarkand,KZ,45.41,79.92,66.58,30,47,5.1,scattered clouds
237,Srednekolymsk,RU,67.45,153.68,33.8,91,97,7.52,overcast clouds
238,Puerto Cabezas,NI,14.04,-83.39,86.0,79,75,4.7,haze
239,Tuban,ID,-6.9,112.06,77.61,79,18,6.33,few clouds
240,Cidreira,BR,-30.18,-50.21,62.67,65,0,14.99,clear sky
241,Okhotsk,RU,59.38,143.3,44.35,71,17,1.61,few clouds
242,Vrede,ZA,-27.43,29.17,54.79,34,0,5.66,clear sky
243,Tuatapere,NZ,-46.13,167.68,44.01,91,60,4.0,broken clouds
244,Ayapel,CO,8.31,-75.14,87.26,68,54,2.75,broken clouds
245,High Level,CA,58.52,-117.14,55.4,93,90,5.82,overcast clouds
246,Pangai,TO,-19.8,-174.35,77.47,81,82,18.32,broken clouds
247,Ola,RU,59.58,151.28,42.64,64,48,10.98,scattered clouds
248,Trairi,BR,-3.28,-39.27,84.29,57,1,17.96,clear sky
249,Liaqatabad,PK,31.56,74.3,87.8,74,20,6.35,smoke
250,Aklavik,CA,68.22,-135.01,55.4,87,75,5.82,broken clouds
251,Kresttsy,RU,58.25,32.52,63.18,94,100,7.11,overcast clouds
252,Ichinoseki,JP,38.92,141.13,69.35,90,88,0.6,overcast clouds
253,Harper,LR,4.38,-7.72,77.7,77,73,11.43,broken clouds
254,Hambantota,LK,6.12,81.12,80.6,82,24,12.75,few clouds
255,Aykhal,RU,66.0,111.5,44.96,64,0,2.71,clear sky
256,Manjacaze,MZ,-24.71,33.88,66.78,49,0,5.7,clear sky
257,Souillac,MU,-20.52,57.52,71.6,73,40,16.11,scattered clouds
258,Ancud,CL,-41.87,-73.82,51.01,100,90,14.99,overcast clouds
259,Nikolsk,RU,53.72,46.07,56.71,76,2,2.91,clear sky
260,Trinidad,BO,-14.83,-64.9,73.4,49,0,3.36,clear sky
261,San Quintin,MX,30.48,-115.95,77.54,65,0,5.48,clear sky
262,Vadakku Valliyur,IN,8.38,77.65,80.2,73,5,7.96,clear sky
263,Tres De Maio,BR,-27.77,-54.24,63.59,68,0,11.25,clear sky
264,Whyalla,AU,-33.03,137.58,48.2,81,90,1.12,overcast clouds
265,Upata,VE,8.01,-62.4,84.99,72,47,7.0,moderate rain
266,Sistranda,NO,63.73,8.83,54.0,66,75,17.22,broken clouds
267,Mpika,ZM,-11.83,31.45,62.76,57,76,7.65,broken clouds
268,Montes Claros,BR,-16.73,-43.86,78.8,41,75,6.93,broken clouds
269,Vestmannaeyjar,IS,63.44,-20.27,55.4,66,91,9.17,overcast clouds
270,Verkhnetulomskiy,RU,68.61,31.8,60.8,87,75,6.71,broken clouds
271,Pisco,PE,-13.7,-76.22,63.0,77,90,8.05,overcast clouds
272,Ponta Delgada,PT,37.73,-25.67,77.0,78,20,14.99,few clouds
273,Marsabit,KE,2.33,37.99,71.58,54,37,18.97,scattered clouds
274,Mayakonda,IN,14.28,76.08,72.66,86,75,10.11,broken clouds
275,Pevek,RU,69.7,170.31,37.31,97,100,3.6,overcast clouds
276,Swan River,CA,52.11,-101.27,69.06,58,7,10.63,clear sky
277,Lompoc,US,34.64,-120.46,75.2,73,1,2.17,clear sky
278,Katsuura,JP,35.13,140.3,78.8,88,40,4.7,scattered clouds
279,La Ronge,CA,55.1,-105.28,62.6,63,75,17.22,broken clouds
280,Sokoni,TZ,-6.43,39.55,77.0,83,20,11.41,few clouds
281,Sault Sainte Marie,CA,46.52,-84.33,73.4,78,90,3.67,overcast clouds
282,Lincoln,US,40.8,-96.67,89.01,51,1,9.17,clear sky
283,Marsh Harbour,BS,26.54,-77.06,86.36,75,49,20.29,scattered clouds
284,Turukhansk,RU,65.82,87.98,55.27,88,100,8.59,light rain
285,Dzaoudzi,YT,-12.79,45.27,75.2,78,2,4.7,clear sky
286,Novo Aripuana,BR,-5.12,-60.38,101.25,22,0,2.82,clear sky
287,San Patricio,MX,19.22,-104.7,84.2,83,75,6.93,broken clouds
288,Rayong,TH,12.83,101.43,86.0,82,98,3.71,overcast clouds
289,Sao Filipe,CV,14.9,-24.5,79.79,78,96,7.29,overcast clouds
290,Honiara,SB,-9.43,159.95,73.4,100,75,3.36,broken clouds
291,Cody,US,44.53,-109.06,71.01,52,1,5.82,clear sky
292,Wilmington,US,34.23,-77.94,86.0,74,75,6.93,broken clouds
293,Neuquen,AR,-38.95,-68.06,60.8,38,7,2.24,clear sky
294,Meulaboh,ID,4.14,96.13,78.1,81,90,3.2,overcast clouds
295,Jaicos,BR,-7.36,-41.14,97.25,18,16,10.07,few clouds
296,Lehola,EE,59.29,24.33,63.0,93,40,10.29,light intensity shower rain
297,Anau,PF,-16.52,-151.73,76.44,76,2,19.6,clear sky
