City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Vaini,TO,2020-08-21 22:56:03,-21.2,-175.2,78.8,83,20,11.41
69,Aywaille,BE,2020-08-21 22:56:04,50.47,5.68,71.6,56,52,11.41
70,Albany,US,2020-08-21 22:53:02,42.6,-73.97,82.99,48,88,1.99
71,Nemuro,JP,2020-08-21 22:56:05,43.32,145.57,61.72,74,80,3.15
72,Chokurdakh,RU,2020-08-21 22:56:06,70.63,147.92,37.24,85,99,9.35
73,Bluff,NZ,2020-08-21 22:56:06,-46.6,168.33,51.01,94,45,8.01
74,Seddon,AU,2020-08-21 22:56:06,-37.81,144.89,45.0,81,75,18.34
75,Kodiak,US,2020-08-21 22:54:35,57.79,-152.41,75.2,38,1,17.22
76,Talnakh,RU,2020-08-21 22:56:08,69.49,88.4,53.6,87,40,6.71
77,Santa Lucia,ES,2020-08-21 22:56:08,27.91,-15.54,79.0,83,20,26.4
78,Novobureyskiy,RU,2020-08-21 22:56:08,49.8,129.88,61.56,84,32,9.82
79,Ilulissat,GL,2020-08-21 22:56:09,69.22,-51.1,48.2,45,50,2.24
80,Geraldton,AU,2020-08-21 22:56:09,-28.77,114.6,57.2,71,90,2.24
81,Tuktoyaktuk,CA,2020-08-21 22:56:10,69.45,-133.04,64.4,55,20,3.36
82,Mahebourg,MU,2020-08-21 22:56:10,-20.41,57.7,69.8,73,40,8.05
83,Mataura,NZ,2020-08-21 22:56:10,-46.19,168.86,51.01,94,53,8.01
84,Roma,US,2020-08-21 22:56:11,43.21,-75.46,80.6,51,1,13.87
85,Sim,RU,2020-08-21 22:56:11,54.99,57.7,52.43,94,100,2.93
86,Alta Floresta,BR,2020-08-21 22:52:36,-9.88,-56.09,77.83,39,0,6.62
87,Dzerzhinsk,RU,2020-08-21 22:54:28,56.24,43.46,61.0,93,4,3.02
88,Vestmannaeyjar,IS,2020-08-21 22:56:12,63.44,-20.27,52.38,64,0,12.26
89,Nabire,ID,2020-08-21 22:55:06,-3.37,135.48,78.62,83,61,2.86
90,Saint-Philippe,RE,2020-08-21 22:56:13,-21.36,55.77,66.2,55,43,8.05
91,Cap Malheureux,MU,2020-08-21 22:56:13,-19.98,57.61,69.01,79,18,7.0
92,Tiksi,RU,2020-08-21 22:56:14,71.69,128.87,38.55,87,98,10.25
93,Haapiti,PF,2020-08-21 22:56:14,-17.57,-149.87,82.4,65,75,6.93
94,Port Elizabeth,ZA,2020-08-21 22:56:15,-33.92,25.57,48.2,93,74,3.36
95,Zhigansk,RU,2020-08-21 22:56:16,66.77,123.37,40.68,70,0,17.83
96,Maloy,NO,2020-08-21 22:56:16,61.94,5.11,64.4,82,93,26.4
97,Alenquer,BR,2020-08-21 22:56:16,-1.94,-54.74,82.4,83,0,4.7
98,Sao Filipe,CV,2020-08-21 22:56:17,14.9,-24.5,77.67,74,50,3.36
