City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Nikolskoye,RU,59.7,30.79,66.2,63,0,2.24,clear sky
156,Castro,BR,-24.79,-50.01,43.12,87,97,5.53,overcast clouds
157,Bambous Virieux,MU,-20.34,57.76,71.6,68,40,9.17,scattered clouds
158,Hervey Bay,AU,-25.3,152.85,57.0,76,0,8.05,clear sky
159,Azovskaya,RU,44.79,38.63,71.01,90,97,5.28,overcast clouds
160,Hasaki,JP,35.73,140.83,75.2,100,20,2.24,fog
161,Laranjeiras Do Sul,BR,-25.41,-52.42,50.61,65,4,3.58,clear sky
162,Kattivakkam,IN,13.22,80.32,84.2,83,40,6.93,mist
163,Chuy,UY,-33.7,-53.46,55.0,60,0,6.33,clear sky
164,Felanitx,ES,39.47,3.15,84.2,83,8,8.05,clear sky
165,Port Hawkesbury,CA,45.62,-61.35,70.0,60,90,9.17,overcast clouds
166,Chokurdakh,RU,70.63,147.92,34.68,94,96,7.14,overcast clouds
167,Halifax,CA,44.65,-63.57,73.0,61,86,3.0,overcast clouds
168,Lompoc,US,34.64,-120.46,80.01,56,75,8.05,broken clouds
169,Salalah,OM,17.02,54.09,77.0,100,90,4.7,light intensity drizzle
170,Kulhudhuffushi,MV,6.62,73.07,82.72,72,98,6.62,overcast clouds
171,Vilyuysk,RU,63.76,121.62,39.2,74,0,4.47,clear sky
172,Am Timan,TD,11.03,20.28,77.56,80,100,1.23,overcast clouds
173,Rudbar,AF,30.15,62.6,79.7,15,0,5.46,clear sky
174,Itoman,JP,26.12,127.67,82.4,83,75,1.12,broken clouds
175,Carutapera,BR,-1.2,-46.02,82.54,73,8,9.51,clear sky
176,Qom,IR,34.64,50.88,83.46,15,0,3.58,clear sky
177,Portland,US,45.52,-122.68,73.99,60,90,9.17,overcast clouds
178,Salur,IN,18.53,83.22,77.97,81,100,3.51,overcast clouds
179,Changji,CN,44.02,87.32,73.4,43,75,13.42,broken clouds
180,Chulumani,BO,-16.41,-67.53,56.93,77,100,2.98,overcast clouds
181,Matera,IT,40.5,16.42,82.4,38,5,5.82,clear sky
